salaries|company|location|position
65000|IBM|Houston, TX|2019 Software Developer Internship
81000|Lamons|Houston, TX|Applications Engineer
98000|INSYS Group|Houston, TX|Senior C# Software Engineer
114000|Bechtel|Iquique|Senior Stress Engineer - LNG
136000|VMware, Inc.|Houston, TX|Sr Systems Engineer, Software Defined Storage, Global Accounts
91000|Bechtel|Houston, TX|Civil Site Engineer
115000|Bechtel|Houston, TX|Senior Structural Engineer
112000|Netwoven|Houston, TX|Software Engineer (ServiceNow)
67000|Idera Software|Houston, TX|Software Consultant / Sales Engineer
92000|Chase|Houston, TX|Python Software Engineer
86000|Intergraph Corporation|Houston, TX|Engineer
123000|PROS|Houston, TX|Senior Software Engineer
96000|Parsons Corporation|Houston, TX|Mechanical Engineer
92000|Chase|Houston, TX|Software Engineer- Java/Python Developer
111000|Oracle|Houston, TX|Principal Software Engineer, Container Engine Team
110000|AvidXchange|Houston, TX|Senior Test Automation Engineer
77000|Agilent Technologies|Houston, TX|Quality Engineer, Design
104000|Akamai|Pasadena, TX|Software Engineer II - Protocol Optimization
75000|Jacobs|Houston, TX|Software Engineer
89000|Arup|Houston, TX|Civil Structural Engineering Intern
95000|Iterable|Houston, TX|SRE, Site Reliability Engineer
131000|Aegion|Houston, TX|Senior Corrosion Engineer
75000|TechnipFMC|Houston, TX|Project Software Engineer
94000|JPMorgan Chase&Co.|Houston, TX|.Net/WPF Software Engineer
95000|S&B Engineers and Constructors|Houston, TX|Civil/Structural Engineers
110000|AvidXchange|Houston, TX|Senior Test Automation Engineer
154000|Bray Controls USA|Houston, TX|Principal Engineer
78000|National Oilwell Varco|Houston, TX|Systems Engineer
104000|ChaiOne|Houston, TX|Software Architect
92000|PAS Global, LLC|Houston, TX|Application Engineer
88000|Siemens|Houston, TX|Software Engineer - Advanced
180000|Wood Mackenzie|Houston, TX|Senior Data Scientist
71000|QuEST Global Engineering|Houston, TX|Systems Engineer
76000|Open Systems International|Houston, TX|Software Solutions Engineer - Oil & Gas
101000|Oceaneering International|Houston, TX|Senior Software Engineer
121000|Macquarie Group|Houston, TX|Cloud DevOps Engineer
73000|Arup|Houston, TX|Rail Engineering Intern
116000|Macquarie Group Limited|Houston, TX|Application Support Engineer
70000|HP Inc.|Houston, TX|Development and Production Systems Engineer
82000|BASF Group|Houston, TX|Mechanical Engineer
106000|Texas Instruments|Houston, TX|Systems Engineer (Masters & PhD)
144000|Oracle|Houston, TX|Software Development Consultant V
78000|Centaurus Technology Partners|Houston, TX|Cloud Software Engineer
115000|J.P. Morgan|Houston, TX|Senior Java Software Engineer
105000|Diverse Lynx|Houston, TX|Devops Engineer
88000|American Cybersystems|Houston, TX|Java Software Engineer
114000|Insurance Services Office|Houston, TX|Principal Software Engineer
115000|Macquarie Group|Houston, TX|Network Operations Engineer
81000|WorleyParsons|Houston, TX|Associate Engineer
96000|HP Inc.|Houston, TX|System Software Engineer---Image Deployment Architect
87000|National Oilwell Varco|Houston, TX|PLC Software Engineer
87000|Chase|Houston, TX|Software Engineer - Big Data Engineer
81000|Schweitzer Engineering Laboratories|Houston, TX|Project Engineer I - Automation
102000|XTO|Houston, TX|XTO Environmental Engineer
93000|DocuSign|Houston, TX|Enterprise Solution Engineer
107000|PROS|Houston, TX|Data Scientist (EG)
95000|Synopsys|Pasadena, TX|Optical Software Engineer
36000|Micro Focus|Houston, TX|Intern: Software Engineering
94000|J.P. Morgan|Houston, TX|Software Engineer - Java/Hadoop
70000|empowr|Houston, TX|Software Engineer
97000|CH2M|Houston, TX|Software Engineer
81000|AIG|Houston, TX|Software Developer/Engineer
115000|JPMorgan Chase|Houston, TX|Senior Software Engineer - Microservices
112000|Slalom LLC.|Houston, TX|Engineer - Software Development
90000|Axiom Technology Group|Houston, TX|Software Developer
107000|PROS|Houston, TX|Software Engineer II (BackEnd) (EverGreen)
68000|Accenture|Houston, TX|AI Software Developer Consultant
138000|Vroom|Houston, TX|Sr Software Engineer
64000|ASM Research|Houston, TX|Software Engineer
94000|JPMorgan Chase&Co.|Houston, TX|Software Engineer - Java
111000|Occidental Petroleum Corporation|Houston, TX|Completions Engineer
75000|Camden Property Trust|Houston, TX|Project Engineer
127000|Energy Transfer Partners|Houston, TX|Integrity Engineering
87000|N.F Smith & Associates|Houston, TX|Data Scientist
79000|Halff Associates|Houston, TX|Civil Engineer - Water Resources - Houston, TX
75000|National Oilwell Varco|Houston, TX|Design Engineer - Liner Hangers
104000|Metasys Technologies|Houston, TX|Software Engineers
95000|Rockwell Automation|Houston, TX|Information Software (IS) Technical Consultant
99000|GHD|Houston, TX|Facility Engineering and Construction Business Development Leader
89000|Simpson Gumpertz and Heger Inc|Houston, TX|Engineer (Entry-Level) Career Fair Resumes, Structures
78000|CACI International|Houston, TX|EVA Space Suit Embedded Software Development Engineer
83000|Halliburton|Houston, TX|United States Houston: Principal Engineer - Software Development
127000|J.P. Morgan|Houston, TX|Software Engineer Lead
80000|Catapult Systems|Houston, TX|Application Developer - State and Local Government
78000|Open Systems International|Houston, TX|Senior Software Engineer
107000|Hewlett Packard Enterprise|Houston, TX|Data Scientist
72000|Preventice Solutions|Houston, TX|SYSTEMS ENGINEER
106000|PROGRESSSIVE INSURANCE|Houston, TX|Software Developer or Senior
94000|HP Inc.|Houston, TX|Solutions Engineer, Device as a Service, Apple Devices
160000|AECOM|Houston, TX|Senior Project Engineer / Project Manager
86000|Sysco|Houston, TX|Sr. Quality Engineer
108000|Chase|Houston, TX|Senior Software Engineer - Microservices
62000|L&T Technology Services|Houston, TX|Software engineer
108000|Chase|Houston, TX|Senior Software Engineer-Java/Hadoop
91000|Arup|Houston, TX|Graduate Civil Structural Engineer
101000|Rockwell Automation|Houston, TX|Project Engineer
129000|VMware|Houston, TX|Sr. Solutions Engineer, vSAN/HCI - Enterprise
89000|Rimkus Consulting|Houston, TX|Material Science/ Metallurgical Engineer
72000|National Oilwell Varco|Houston, TX|Application Software Engineer
105000|Halliburton|Houston, TX|Principal Software Developer
115000|JPMorgan Chase&Co.|Houston, TX|Senior Java/Python/Go Software Engineer
97000|INSYS Group|Houston, TX|Senior C# Software Engineer
94000|Sysco|Houston, TX|Software Engineer
99000|MTM|Houston, TX|Senior Enterprise Security Engineer
